raceId;year;round;circuitId;name;date;time
252;1995;13;27;Portuguese Grand Prix;24.09.95;X
253;1995;14;20;European Grand Prix;01.10.95;X
254;1995;15;28;Pacific Grand Prix;22.10.95;X
255;1995;16;22;Japanese Grand Prix;29.10.95;X
256;1995;17;29;Australian Grand Prix;12.11.95;X
257;1994;1;18;Brazilian Grand Prix;27.03.94;X
258;1994;2;28;Pacific Grand Prix;17.04.94;X
259;1994;3;21;San Marino Grand Prix;01.05.94;X
260;1994;4;6;Monaco Grand Prix;15.05.94;X
261;1994;5;4;Spanish Grand Prix;29.05.94;X
262;1994;6;7;Canadian Grand Prix;12.06.94;X
263;1994;7;8;French Grand Prix;03.07.94;X
264;1994;8;9;British Grand Prix;10.07.94;X
265;1994;9;10;German Grand Prix;31.07.94;X
266;1994;10;11;Hungarian Grand Prix;14.08.94;X
267;1994;11;13;Belgian Grand Prix;28.08.94;X
268;1994;12;14;Italian Grand Prix;11.09.94;X
269;1994;13;27;Portuguese Grand Prix;25.09.94;X
270;1994;14;26;European Grand Prix;16.10.94;X
271;1994;15;22;Japanese Grand Prix;06.11.94;X
272;1994;16;29;Australian Grand Prix;13.11.94;X
273;1993;1;30;South African Grand Prix;14.03.93;X
274;1993;2;18;Brazilian Grand Prix;28.03.93;X
275;1993;3;31;European Grand Prix;11.04.93;X
276;1993;4;21;San Marino Grand Prix;25.04.93;X
277;1993;5;4;Spanish Grand Prix;09.05.93;X
278;1993;6;6;Monaco Grand Prix;23.05.93;X
279;1993;7;7;Canadian Grand Prix;13.06.93;X
280;1993;8;8;French Grand Prix;04.07.93;X
281;1993;9;9;British Grand Prix;11.07.93;X
282;1993;10;10;German Grand Prix;25.07.93;X
283;1993;11;11;Hungarian Grand Prix;15.08.93;X
284;1993;12;13;Belgian Grand Prix;29.08.93;X
285;1993;13;14;Italian Grand Prix;12.09.93;X
286;1993;14;27;Portuguese Grand Prix;26.09.93;X
287;1993;15;22;Japanese Grand Prix;24.10.93;X
288;1993;16;29;Australian Grand Prix;07.11.93;X
289;1992;1;30;South African Grand Prix;01.03.92;X
290;1992;2;32;Mexican Grand Prix;22.03.92;X
291;1992;3;18;Brazilian Grand Prix;05.04.92;X
292;1992;4;4;Spanish Grand Prix;03.05.92;X
293;1992;5;21;San Marino Grand Prix;17.05.92;X
294;1992;6;6;Monaco Grand Prix;31.05.92;X
295;1992;7;7;Canadian Grand Prix;14.06.92;X
296;1992;8;8;French Grand Prix;05.07.92;X
297;1992;9;9;British Grand Prix;12.07.92;X
298;1992;10;10;German Grand Prix;26.07.92;X
299;1992;11;11;Hungarian Grand Prix;16.08.92;X
300;1992;12;13;Belgian Grand Prix;30.08.92;X
301;1992;13;14;Italian Grand Prix;13.09.92;X
302;1992;14;27;Portuguese Grand Prix;27.09.92;X
303;1992;15;22;Japanese Grand Prix;25.10.92;X
304;1992;16;29;Australian Grand Prix;08.11.92;X
305;1991;1;33;United States Grand Prix;10.03.91;X
306;1991;2;18;Brazilian Grand Prix;24.03.91;X
307;1991;3;21;San Marino Grand Prix;28.04.91;X
308;1991;4;6;Monaco Grand Prix;12.05.91;X
309;1991;5;7;Canadian Grand Prix;02.06.91;X
310;1991;6;32;Mexican Grand Prix;16.06.91;X
311;1991;7;8;French Grand Prix;07.07.91;X
312;1991;8;9;British Grand Prix;14.07.91;X
313;1991;9;10;German Grand Prix;28.07.91;X
314;1991;10;11;Hungarian Grand Prix;11.08.91;X
315;1991;11;13;Belgian Grand Prix;25.08.91;X
